% LIQUIDITY FACTORS OF PASTOR AND STAMBAUGH (JPE 2003) UPDATED THROUGH DEC 2025
% Column 1: Month
% Column 2: Levels of aggregated liquidity (Figure 1 in the paper)
% Column 3: Innovations in aggregated liquidity (non-traded liquidity factor; equation(8); the main series)
% Column 4: Traded liquidity factor (LIQ_V, 10-1 portfolio return)
% Note: The traded factor is the value-weighted return on the 10-1 portfolio from a sort on historical
% liquidity betas. This procedure is simpler than sorting on predicted betas (as in the original study)
% and through 2025 it is similarly successful at creating a spread in post-ranking betas. The traded
% factor has a positive and significant alpha through 2025, consistent with liquidity risk being priced.
%
% Month	Agg Liq.	Innov Liq (eq8)	Traded Liq (LIQ_V)
199112	 -0.05322325	 -0.07335422	 -0.05000757	
199201	 -0.06539803	 -0.04453109	 -0.07457946	
199202	 -0.03882485	  0.01108780	 -0.04985735	
199203	 -0.03465565	  0.02188919	 -0.00479757	
199204	  0.03515199	  0.04552894	 -0.00489199	
199205	  0.00282330	  0.05335237	  0.00124407	
199206	  0.07344082	  0.01391817	  0.02485120	
199207	 -0.05007397	 -0.05383138	  0.02353420	
199208	 -0.00621409	 -0.00541282	  0.04941239	
199209	  0.01438352	  0.03322946	 -0.02205370	
199210	 -0.05938596	 -0.05362167	 -0.02261128	
199211	  0.00064737	  0.02993699	 -0.05800390	
199212	  0.00917333	  0.02459487	 -0.02896337	
199301	  0.01066734	  0.04036970	 -0.01195302	
199302	 -0.03036431	 -0.00961736	  0.04968702	
199303	 -0.03524591	 -0.00788312	 -0.04252483	
199304	  0.00905223	  0.03738092	 -0.01497970	
199305	 -0.01625854	  0.01017374	  0.03565047	
199306	 -0.01852220	  0.00901070	 -0.03871389	
199307	 -0.01795792	  0.00904888	 -0.01822521	
199308	  0.04089084	  0.02491100	  0.01180312	
199309	  0.02295202	  0.03733081	 -0.07225849	
199310	  0.00055999	  0.01478160	  0.03411184	
199311	  0.00701388	  0.02090313	  0.04966272	
199312	  0.04816582	  0.02992486	  0.01062738	
199401	  0.03945233	  0.07063978	 -0.00211046	
199402	 -0.05118112	 -0.03877210	  0.00676685	
199403	 -0.01754283	 -0.01275357	  0.02257303	
199404	 -0.07560346	 -0.05250236	  0.00875902	
199405	 -0.04188306	 -0.00386300	  0.03247893	
199406	 -0.07876345	 -0.03632312	  0.00039196	
199407	  0.01170579	  0.06095822	 -0.00759346	
199408	 -0.01712653	  0.03696095	  0.00615007	
199409	  0.02057459	  0.01564494	  0.03315953	
199410	  0.02948057	  0.03217904	  0.01276211	
199411	 -0.01562759	 -0.04618880	 -0.02193409	
199412	 -0.03463681	 -0.01862559	  0.01654214	
199501	  0.02203863	  0.05956679	 -0.03175454	
199502	  0.02345110	  0.02533483	 -0.01265216	
199503	  0.00965139	 -0.01453146	  0.01993167	
199504	  0.03159954	  0.05040484	  0.00341863	
199505	  0.00549231	  0.01112879	 -0.00797633	
199506	 -0.02591843	 -0.03691755	  0.00707352	
199507	 -0.00496129	  0.00847927	  0.04619896	
199508	 -0.00307108	  0.01953872	 -0.00171222	
199509	 -0.02969716	 -0.02624736	 -0.07714703	
199510	 -0.00970914	  0.00320760	  0.03223555	
199511	  0.03077718	  0.05724241	 -0.02025904	
199512	 -0.06585447	 -0.02932940	 -0.03183347	
199601	 -0.02406459	 -0.01098828	  0.03384355	
199602	  0.02437495	  0.07113773	  0.00992407	
199603	 -0.05199269	 -0.04407377	 -0.01068221	
199604	 -0.02578064	  0.01509692	 -0.02725805	
199605	  0.01230484	  0.02388839	 -0.00866307	
199606	 -0.01043124	 -0.01090282	 -0.05151579	
199607	 -0.03827071	 -0.01603472	 -0.03730936	
199608	  0.06257825	  0.08978677	  0.00922940	
199609	 -0.00145379	 -0.01130029	 -0.03760690	
199610	 -0.01304627	 -0.03758984	 -0.02588658	
199611	 -0.00762403	 -0.01355995	  0.02267432	
199612	  0.01491694	  0.02426917	 -0.02345829	
199701	 -0.01805521	  0.04922923	 -0.02788762	
199702	  0.00009965	 -0.01739880	 -0.03019738	
199703	 -0.00920051	  0.01490944	  0.01586965	
199704	  0.01869881	  0.02061223	  0.08909277	
199705	  0.02624357	  0.04164992	  0.00503183	
199706	 -0.00982583	 -0.00593851	  0.00604271	
199707	 -0.00845174	  0.00019487	  0.02035074	
199708	 -0.05686046	 -0.01186156	 -0.01718478	
199709	 -0.02780557	  0.03307613	 -0.01388057	
199710	 -0.17045106	 -0.10970090	  0.01708771	
199711	  0.02227044	  0.06785809	  0.07815215	
199712	 -0.02601974	  0.03300703	  0.03745072	
199801	 -0.04385776	 -0.07408140	  0.03415267	
199802	 -0.12007509	 -0.00234551	  0.07294472	
199803	 -0.05899688	 -0.00869147	 -0.04001325	
199804	  0.04140763	  0.09575103	 -0.00861522	
199805	  0.00692221	  0.01567122	 -0.00790660	
199806	 -0.04213487	 -0.03172989	  0.01594836	
199807	 -0.05127275	  0.00423700	  0.00597072	
199808	 -0.05143781	  0.01124938	 -0.02409470	
199809	 -0.27389299	 -0.25669431	  0.05469210	
199810	 -0.04390735	  0.05155646	  0.00923994	
199811	  0.04820335	  0.12118946	 -0.01139889	
199812	 -0.14832526	 -0.10564263	  0.00337909	
199901	  0.06337148	  0.06185788	  0.04907111	
199902	 -0.08470495	 -0.05270458	  0.01953328	
199903	 -0.06150653	 -0.00725999	 -0.00360098	
199904	  0.19803425	  0.27882583	  0.08791667	
199905	 -0.13406902	 -0.13298073	 -0.00702983	
199906	  0.05880003	  0.05522251	  0.04341543	
199907	  0.06700253	  0.05803120	 -0.01666002	
199908	  0.05135833	 -0.01515691	 -0.00383093	
199909	 -0.04824106	 -0.07676400	 -0.03084220	
199910	  0.09827962	  0.08057405	  0.08936459	
199911	 -0.00168205	 -0.03665784	 -0.01729438	
199912	 -0.07437276	 -0.08569908	  0.04451752	
